"","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Title","PassengerId","Survived"
"325","3","male",19.0211626344086,"8","2",69.55,"U","S","Mr","325","0"
"326","1","female",36,"0","0",135.6333,"4","C","Miss","326","1"
"327","3","male",61,"0","0",6.2375,"U","S","Mr","327","0"
"328","2","female",36,"0","0",13,"5","S","Mrs","328","1"
"329","3","female",31,"1","1",20.525,"U","S","Mrs","329","1"
"330","1","female",16,"0","1",57.9792,"3","C","Miss","330","1"
"331","3","female",19.1792677527751,"2","0",23.25,"U","Q","Miss","331","1"
"332","1","male",45.5,"0","0",28.5,"4","S","Mr","332","0"
"333","1","male",38,"0","1",153.4625,"4","S","Mr","333","0"
"334","3","male",16,"2","0",18,"U","S","Mr","334","0"
"335","1","female",40.5187764293994,"1","0",133.65,"U","S","Mrs","335","1"
"336","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","336","0"
"337","1","male",29,"1","0",66.6,"4","S","Mr","337","0"
"338","1","female",41,"0","0",134.5,"6","C","Miss","338","1"
"339","3","male",45,"0","0",8.05,"U","S","Mr","339","1"
"340","1","male",45,"0","0",35.5,"9","S","Mr","340","0"
"341","2","male",2,"1","1",26,"7","S","Master","341","1"
"342","1","female",24,"3","2",263,"4","S","Miss","342","1"
"343","2","male",28,"0","0",13,"U","S","Mr","343","0"
"344","2","male",25,"0","0",13,"U","S","Mr","344","0"
"345","2","male",36,"0","0",13,"U","S","Mr","345","0"
"346","2","female",24,"0","0",13,"7","S","Miss","346","1"
"347","2","female",40,"0","0",13,"U","S","Miss","347","1"
"348","3","female",27.1047699621372,"1","0",16.1,"U","S","Mrs","348","1"
"349","3","male",3,"1","1",15.9,"U","S","Master","349","1"
"350","3","male",42,"0","0",8.6625,"U","S","Mr","350","0"
"351","3","male",23,"0","0",9.225,"U","S","Mr","351","0"
"352","1","male",47.129833529323,"0","0",35,"4","S","Mr","352","0"
"353","3","male",15,"1","1",7.2292,"U","C","Mr","353","0"
"354","3","male",25,"1","0",17.8,"U","S","Mr","354","0"
"355","3","male",27.3471258507899,"0","0",7.225,"U","C","Mr","355","0"
"356","3","male",28,"0","0",9.5,"U","S","Mr","356","0"
"357","1","female",22,"0","1",55,"6","S","Miss","357","1"
"358","2","female",38,"0","0",13,"U","S","Miss","358","0"
"359","3","female",23.0657534960542,"0","0",7.8792,"U","Q","Miss","359","1"
"360","3","female",23.0657534960542,"0","0",7.8792,"U","Q","Miss","360","1"
"361","3","male",40,"1","4",27.9,"U","S","Mr","361","0"
"362","2","male",29,"1","0",27.7208,"U","C","Mr","362","0"
"363","3","female",45,"0","1",14.4542,"U","C","Mrs","363","0"
"364","3","male",35,"0","0",7.05,"U","S","Mr","364","0"
"365","3","male",34.9747024514066,"1","0",15.5,"U","Q","Mr","365","0"
"366","3","male",30,"0","0",7.25,"U","S","Mr","366","0"
"367","1","female",60,"1","0",75.25,"5","C","Mrs","367","1"
"368","3","female",31.6568529108884,"0","0",7.2292,"U","C","Mrs","368","1"
"369","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","369","1"
"370","1","female",24,"0","0",69.3,"3","C","Mme","370","1"
"371","1","male",25,"1","0",55.4417,"6","C","Mr","371","1"
"372","3","male",18,"1","0",6.4958,"U","S","Mr","372","0"
"373","3","male",19,"0","0",8.05,"U","S","Mr","373","0"
"374","1","male",22,"0","0",135.6333,"U","C","Mr","374","0"
"375","3","female",3,"3","1",21.075,"U","S","Miss","375","0"
"376","1","female",42.0854823232323,"1","0",82.1708,"U","C","Mrs","376","1"
"377","3","female",22,"0","0",7.25,"U","S","Miss","377","1"
"378","1","male",27,"0","2",211.5,"4","C","Mr","378","0"
"379","3","male",20,"0","0",4.0125,"U","C","Mr","379","0"
"380","3","male",19,"0","0",7.775,"U","S","Mr","380","0"
"381","1","female",42,"0","0",227.525,"U","C","Miss","381","1"
"382","3","female",1,"0","2",15.7417,"U","C","Miss","382","1"
"383","3","male",32,"0","0",7.925,"U","S","Mr","383","0"
"384","1","female",35,"1","0",52,"U","S","Mrs","384","1"
"385","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","385","0"
"386","2","male",18,"0","0",73.5,"U","S","Mr","386","0"
"387","3","male",1,"5","2",46.9,"U","S","Master","387","0"
"388","2","female",36,"0","0",13,"U","S","Miss","388","1"
"389","3","male",29.6993785229901,"0","0",7.7292,"U","Q","Mr","389","0"
"390","2","female",17,"0","0",12,"U","C","Miss","390","1"
"391","1","male",36,"1","2",120,"3","S","Mr","391","1"
"392","3","male",21,"0","0",7.7958,"U","S","Mr","392","1"
"393","3","male",28,"2","0",7.925,"U","S","Mr","393","0"
"394","1","female",23,"1","0",113.275,"5","C","Miss","394","1"
"395","3","female",24,"0","2",16.7,"8","S","Mrs","395","1"
"396","3","male",22,"0","0",7.7958,"U","S","Mr","396","0"
"397","3","female",31,"0","0",7.8542,"U","S","Miss","397","0"
"398","2","male",46,"0","0",26,"U","S","Mr","398","0"
"399","2","male",23,"0","0",10.5,"U","S","Dr","399","0"
"400","2","female",28,"0","0",12.65,"U","S","Mrs","400","1"
"401","3","male",39,"0","0",7.925,"U","S","Mr","401","1"
"402","3","male",26,"0","0",8.05,"U","S","Mr","402","0"
"403","3","female",21,"1","0",9.825,"U","S","Miss","403","0"
"404","3","male",28,"1","0",15.85,"U","S","Mr","404","0"
"405","3","female",20,"0","0",8.6625,"U","S","Miss","405","0"
"406","2","male",34,"1","0",21,"U","S","Mr","406","0"
"407","3","male",51,"0","0",7.75,"U","S","Mr","407","0"
"408","2","male",3,"1","1",18.75,"U","S","Master","408","1"
"409","3","male",21,"0","0",7.775,"U","S","Mr","409","0"
"410","3","female",5.92991820225366,"3","1",25.4667,"U","S","Miss","410","0"
"411","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","411","0"
"412","3","male",28.5528646970292,"0","0",6.8583,"U","Q","Mr","412","0"
"413","1","female",33,"1","0",90,"4","Q","Miss","413","1"
"414","2","male",36.3414814792133,"0","0",0,"U","S","Mr","414","0"
"415","3","male",44,"0","0",7.925,"U","S","Mr","415","1"
"416","3","female",36.9955865986068,"0","0",8.05,"U","S","Mrs","416","0"
